price,item_id,developer,año
4.99,761140,kotoshiro,2018
0.0,643980,secret level srl,2018
0.0,670290,poolians.com,2017
0.99,767400,彼岸领域,2017
3.99,772540,trickjump games ltd,2018
9.99,774276,poppermost productions,2018
18.99,774277,poppermost productions,2018
29.99,774278,poppermost productions,2018
10.99,770380,stegalosaurus game development,2018
3.99,768880,copperpick studio,2018
2.99,765320,ghulam jewel,2018
1.59,773650,apillo,2018
14.99,774271,poppermost productions,2018
1.99,773690,apillo,2018
59.99,774279,poppermost productions,2018
0.99,768060,tero lunkka,2018
2.99,775880,frozenpepper,2017
2.99,775881,frozenpepper,2017
4.99,653960,casey labrack,2018
9.99,282010,stainless games ltd,1997
9.99,70,valve,1998
1.99,752360,dev4play,2016
0.99,766850,etggames,2018
8.99,754360,the commander,2018
0.99,716110,"lalalazero,urbanoff",2018
6.99,1640,strategy first,2006
6.99,1630,strategy first,2006
9.99,2400,outerlight ltd.,2006
7.99,759920,ultraint,2017
10.99,603280,tpm.co soft works,2017
9.99,753110,wonderbox games,2017
9.99,753100,wonderbox games,2017
1.99,764280,mad unicorn games,2017
0.99,758550,emanon studios,2017
9.99,3800,glyphx games,2005
9.99,1520,introversion software,2006
9.99,2420,outerlight ltd.,2006
9.99,4000,facepunch studios,2006
39.99,4230,simbin,2006
0.0,4900,unknown worlds entertainment,2006
4.99,2520,"cinemax, s.r.o.",2006
4.99,6200,sick puppies,2003
4.99,6210,deepred,2006
19.99,6300,funcom,2006
9.99,2990,bugbear entertainment,2006
7.49,6220,bugbear entertainment,2005
14.99,6510,"capcom co., ltd.",2007
9.99,3980,"firefly studios,firaxis games",2006
4.99,1700,arkane studios,2002
9.99,6310,funcom,2000
4.99,3990,firaxis games,2006
9.99,7610,poptop,2003
9.99,7600,"firaxis games,feral interactive (mac)",2006
4.99,7620,poptop,1998
4.99,2540,elephant games,2007
4.99,7650,"microprose software, inc",1995
8.99,8000,"crystal dynamics,feral interactive (mac)",2007
19.99,6550,"capcom co., ltd.",2006
19.99,8200,telltale games,2006
4.99,2290,id software,1996
19.99,8210,telltale games,2006
4.99,2280,id software,1995
14.99,9160,id software,1995
4.99,2300,id software,1994
4.99,2270,id software,1994
4.99,9010,gray matter studios,2001
2.99,9040,ritual entertainment,1997
2.99,9000,id software,1993
9.99,3810,terminal reality,2003
2.99,9030,rogue entertainment,2007
4.99,2310,id software,2007
4.99,3230,metamorf,2007
12.99,9310,relic entertainment,2006
19.99,7670,"2k boston,2k australia",2007
12.99,4570,relic entertainment,2006
12.99,4580,relic entertainment,2006
9.99,4760,the creative assembly,2004
4.99,4770,the creative assembly,2006
6.99,50970,big fish games,2007
9.99,12130,rockstar north,2004
9.99,12160,rockstar san diego,2003
9.99,12150,remedy entertainment,2003
6.99,7000,crystal dynamics,2006
9.99,12140,remedy entertainment,2001
19.99,17480,ea los angeles,2008
9.99,12500,infinite interactive,2007
9.99,12310,momentum digital media technologies,2007
9.99,12510,"gamebryo,virtual playground",2007
9.99,12530,scs software,2007
9.99,12520,scs software,2007
5.99,8100,pivotal games,2008
7.99,2780,bohemia interactive,2007
9.99,9710,spellbound,2006
4.99,9800,haggard games,2007
2.99,9760,eugen systems,2006
19.99,2700,"frontier,aspyr (mac)",2006
2.99,2710,eugen systems,2005
14.99,13200,"epic games, inc.",2003
9.99,13250,"epic games, inc.",1998
4.99,13000,sanzaru games,2008
9.99,13560,ubisoft,2003
9.99,13520,crytek studios,2004
9.99,13240,"epic games, inc.",2000
9.99,13540,ubisoft montreal,2006
9.99,15210,ubisoft,2005
9.99,16180,last day of work,2008
4.99,3520,spintop games,2008
9.99,15970,mumbojumbo,2008
9.99,15950,mumbojumbo,2008
9.99,15960,mumbojumbo,2008
9.99,15900,mumbojumbo,2008
9.99,15910,mumbojumbo,2005
9.99,15930,mumbojumbo,2007
9.99,15160,ubisoft,2007
9.99,15920,mumbojumbo,2005
9.99,15080,"ubisoft bulgaria,ubisoft montpellier",2007
9.99,15200,ubisoft romania,2007
9.99,15320,1c: maddox games,2006
9.99,15240,ubisoft romania,2008
9.99,8310,telltale games,2005
9.99,12600,"merscom,babylon",2005
9.99,8320,telltale games,2006
9.99,12590,bigant studios,2008
9.99,12580,zemnott,2008
9.99,12560,gabriel entertainment,2007
9.99,12570,zemnott,2008
9.99,12540,zemnott,2007
9.99,11050,frogwares,2008
9.99,11040,frogwares,2008
4.99,19500,"luc bernard,silverspherestudios",2008
7.99,11260,lesta studio,2007
4.99,19200,dialogue design,2008
19.99,12360,bugbear entertainment,2008
2.99,15710,oddworld inhabitants,1998
2.99,15700,oddworld inhabitants,1997
7.99,8660,simbin,2008
4.99,7770,"microprose software, inc",2001
4.99,7660,"microprose software, inc",1997
4.99,7760,"microprose software, inc",1993
9.99,20510,gsc game world,2008
