posted_ok,recommend
2011/11/05,True
2011/07/15,True
2011/04/21,True
2014/06/24,True
2013/09/08,True
2013/11/29,True
2015/12/04,True
2014/11/03,True
2014/10/15,True
2014/10/15,True
2014/10/15,True
2013/10/14,True
2012/07/28,True
2012/06/02,True
2014/06/29,True
2012/11/22,True
2012/02/23,True
2014/04/15,True
2013/12/23,True
2014/03/14,True
2013/07/11,True
2014/05/05,True
2012/12/24,True
2012/10/21,True
2012/03/20,True
2012/03/09,True
2015/02/01,True
2014/06/20,True
2014/08/25,True
2013/12/25,True
2012/06/23,True
2015/09/05,True
2015/03/30,True
2014/02/19,True
2014/07/14,True
2013/04/27,True
2015/07/20,True
2013/11/04,True
2013/07/12,True
2012/08/19,True
2015/06/19,True
2014/09/20,True
2014/09/07,True
2014/12/19,False
2015/02/17,True
2014/06/07,True
2014/02/12,True
2014/02/09,True
2015/10/31,True
2015/02/04,True
2014/04/05,True
2015/01/08,True
2015/10/26,True
2013/03/20,True
2015/12/28,False
2015/05/19,True
2015/12/15,True
2015/08/21,True
2014/10/17,True
2014/06/27,False
2014/04/28,True
2015/11/12,True
2014/06/18,True
2014/11/20,True
2014/05/29,True
2014/12/29,True
2015/02/13,True
2014/12/26,True
2014/02/04,True
2015/05/21,True
2013/12/06,True
2014/05/12,True
2015/08/24,False
2015/01/06,True
2015/12/22,True
2015/06/23,True
2015/09/11,True
2013/04/22,True
2012/05/27,True
2015/12/05,True
2015/10/04,True
2015/10/03,True
2015/08/13,True
2015/02/22,True
2015/01/14,True
2013/12/14,True
2013/12/01,True
2012/02/11,True
2015/03/12,True
2015/10/14,True
2013/10/27,True
2015/11/27,True
2014/10/09,True
2015/11/09,True
2015/12/23,True
2014/05/06,True
2015/12/02,True
2015/06/06,True
2015/09/29,True
2014/09/08,True
2013/12/15,True
2015/11/23,False
2014/06/01,True
2014/07/11,True
2014/11/14,True
2015/11/13,True
2013/12/15,True
2015/12/17,True
2014/10/26,True
2014/06/28,True
2015/09/12,False
2015/09/13,True
2015/10/14,True
2015/11/19,True
2013/06/25,True
2014/04/11,True
2014/02/22,True
2012/09/24,True
2015/09/26,True
2015/06/12,True
2015/08/03,True
2015/06/26,True
2014/01/15,True
2014/10/14,True
2014/07/09,True
2014/03/13,True
2014/11/11,True
2015/07/21,True
2015/07/05,True
2015/03/12,True
2014/02/23,True
2015/03/22,True
2014/08/21,True
2015/03/13,True
2015/03/20,True
2015/03/07,True
2015/10/10,True
2014/07/06,True
2014/06/19,True
2014/02/19,True
2015/04/11,True
2015/12/24,True
2014/05/17,True
2014/08/09,True
2015/09/26,True
2015/05/22,True
2015/08/22,True
2014/04/05,True
2015/12/30,True
2014/08/01,True
2015/12/26,True
2015/04/14,True
2014/12/30,True
2013/12/04,True
2013/12/04,True
2015/11/10,True
2012/08/27,True
2014/02/05,True
2013/01/27,True
2015/08/25,True
2012/08/27,True
2014/12/16,True
2014/06/29,False
2015/04/11,True
2014/03/08,True
2013/11/16,True
2015/11/11,True
2014/12/26,True
2013/01/17,True
2015/07/17,True
2013/12/29,True
2015/05/06,True
2015/01/26,True
2014/11/16,True
2014/08/17,True
2014/07/21,True
2014/07/19,True
2014/02/08,True
2014/01/07,True
2015/07/06,True
2015/09/06,True
2014/04/24,True
2015/07/06,True
2015/01/27,True
2015/01/25,True
2014/05/24,True
2012/10/20,True
2014/03/28,True
2014/07/09,True
2015/02/23,True
2015/08/29,True
2014/11/23,True
2014/09/09,True
2015/03/26,True
2015/11/23,True
2015/09/14,True
2014/10/13,True
2015/12/27,True
2015/05/13,True
2015/12/27,True
2015/12/21,True
2015/11/15,True
2014/06/13,True
2015/03/13,True
2015/01/07,True
2014/01/02,False
2015/11/18,True
2014/06/01,True
2014/03/18,True
2014/02/16,True
2015/02/25,True
2015/08/15,True
2014/12/25,True
2014/12/16,True
2015/08/14,True
2014/11/11,True
2015/03/01,True
2014/11/27,True
2015/11/20,True
