user_id,item_id
--000--,58
--ace--,44
--ionex--,23
-2SV-vuLB-Kg,68
-404PageNotFound-,149
-AnimeIsMyThing-,127
-Azsael-,167
-Beave-,47
-Encore-,24
-GM-Dragon,106
-I_AM_EPIC-,20
-JT,26
-Kenny,118
-KillZone-,114
-Mad-,367
-Naughty-,62
-PRoSlayeR-,529
-SEVEN-,394
-SatansLittleHelper-,28
-Thyme-,43
-Ultrix,131
-Uplink-,123
-Zovix-,51
-_PussyDestroyer_-,51
-_skIzZ_-,40
-fastrvrs-,18
-iBubble,15
-kainey9777,69
-xKyox-,49
0-3-0,139
00000000000000000001227,93
00000003010,59
0000FF,25
000Infinity000,30
001000111000111000010,71
001002130882,3
001010001,48
0041287,34
00454211432342,24
005577,231
00690069006900,102
0071945,373
007Pro,1
007james_bond,178
007thesilence,49
00810cccyyykkk,7
008port,71
0099654321891111,23
00True,28
00nana,9
01001000-01101001,88
010195345,2
0102705195,3
010607,28
011000100001000111,76
011011010111001000101110,26
011111135489484797,5
01120477677,29
0112937783,31
01189958889189157253,159
0118999881999119,139
01221733,125
0136849195,62
01398279857934,11
018302,42
01shan,5
0212030,7
022899,80
0248359,10
025652,3
0271975108,62
0305089,97
03092002,24
03375616256,2
0402593613,6
04061993,214
04092013,128
041112016,98
0412734634,20
0412827540,27
042153100,118
0421874858,31
04280122,113
0432-026-no,14
04536829290339393838,28
0468313256,86
0488456,22
05041129,35
05461025,53
05511301,159
05zhehan,16
066600,72
0700464574757,48
07846813956825,92
0800135723,1
0814551,48
0827777,11
0833422708,1
0854029092,5
0862770364,23
0896398616,184
0898786879898,7
08alross,313
0903512455,41
09106,176
091263,369
092688110,1
092982943,28
0935659130,59
094553552,89
095732,30
095843067,239
098765432108642,12
09876543231,25
098766catdogbnmnnn,42
09895749373554,33
0996633,56
0FI3MWAJS2849023N,36
0fficiaIfIaw,23
0nlyb0nes,22
0rangeZ3r0,29
0x0B00B135,59
0x426F,149
1-800-Invisible,536
10000000thVisitor,106
1000000sdsd,22
100002077293140,1
100011101011,31
1000jaus,50
1001101001110101,286
100355,50
10051997,130
10101010101010109,307
101010101111,42
101010102,8
1010102,45
101013483181348,7
1010231464,9
1011001,128
1011010101101101010101,52
1011012001,14
101316,21
1016523030,6
101676057,29
10197226,36
101thegreenguy,98
102547508,13
102598615,45
1032165460,7
1052218979baidu,21
10817,38
109284293753647,150
10936543792,109
10948278193,31
109654,1
109leonidas,178
10Degree,150
10gp,21
10outof10matee,56
10oyard,20
11010011011,140
1101167413,42
110211021,73
110321565469,76
1103703132946,65
111190869,62
111222333222111,28
111222333444555666888,52
11123xxx3122,10
11124,44
11141995,47
111s,242
111zerosen,65
1122305938,177
112asdasfasdasd,23
11345678,34
113595,76
1136579070,82
11464789,37
11567jj,102
1163321,56
117007,15
117331,67
117a2,11
117arbiter,166
11925219096,70
119922883377446655123456789,60
11XGX,215
12021988,3
120445,120
120488700,21
12110604,16
1212343456567878909,33
12123871234989120,33
12125,126
1214551565454556,4
121478,129
121598558,9
12223536,177
122249_700b,38
122799,17
123123123131231231,43
12312312332123,31
12312341244123,50
1231343263534243534,48
123232343432555686888554456555,65
1232999,64
12332165478953761,59
1233451231252123,77
1233zaazen,33
12341008,3
12341846,28
1234321115,46
1234455565,2
12345123456,33
1234567124567,38
12345676543456789098543,73
1234567810132,48
123456787654329,131
12345678901234567890123456567890,206
1234567890192837465,98
1234567890qweccrtht,41
1234567890qwertyuiop,4
12345678910123,2
12345678910a,81
1234567898354127873,10
123456789874561232145678,269
123456789_Kappa,37
123456789diamond987654321,71
1234567io9872345678765432,155
12345gh,17
1234865654,76
1234derpaa,44
12391939123,124
12398uf8jg21390,35
12399017,25
123abc321,2
123abccba,91
123amazing123,48
123curssin123,52
123franz789,15
123joshua321,87
123repulseMe,137
123sharpshooter123,2
1242163634531636,2
12435674325tyughnb,43
12435gg,107
124653tf,8
124681,3
1249012512908890112890,75
124c7937,2
12524,81
12536475869trhgsdf,99
12549,64
12779,105
128463821947,10
12874175635ELITE,2
128bitbit,81
1294120970512,49
129874182,155
12DeAgostoAs12HRSe26MIN,35
12_gauge_org,48
12das,20
1300655506nigga,41
13012,128
131312,135
1313Lcf,144
131467132,56
13199708,139
1321742413,66
132413244231,43
13272310,28
13371337133713337,18
133742069174,95
1337666133766613376661337,113
133774553644535355354,5
1337Akraken,110
1337_K_REW,38
1337_Speak,269
1337hunter,67
1337leetSloth,3
1337lolroflmao,197
1337mlg,103
1337putin,91
1343534566,23
13457856281,42
